Title,Genres,Plot,Rating,Released_Year
Drishyam,"['Crime', 'Drama', 'Mystery']","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,2015.0
Queen,"['Adventure', 'Comedy', 'Drama']",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8.2,2013.0
Mandariinid,"['Drama', 'War']","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",8.2,2013.0
Bhaag Milkha Bhaag,"['Biography', 'Drama', 'Sport']",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,8.2,2013.0
Gangs of Wasseypur,"['Action', 'Comedy', 'Crime']","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,2012.0
Udaan,['Drama'],"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.2,2010.0
Paan Singh Tomar,"['Action', 'Biography', 'Crime']","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",8.2,2012.0
El secreto de sus ojos,"['Drama', 'Mystery', 'Romance']",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,8.2,2009.0
Warrior,"['Action', 'Drama', 'Sport']","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.2,2011.0
Shutter Island,"['Mystery', 'Thriller']","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",8.2,2010.0
Up,"['Animation', 'Adventure', 'Comedy']","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,2009.0
The Wolf of Wall Street,"['Biography', 'Crime', 'Drama']","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,2013.0
Chak De! India,"['Drama', 'Family', 'Sport']",Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,8.2,2007.0
There Will Be Blood,['Drama'],"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,2007.0
Pan's Labyrinth,"['Drama', 'Fantasy', 'War']","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,2006.0
Toy Story 3,"['Animation', 'Adventure', 'Comedy']","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.2,2010.0
V for Vendetta,"['Action', 'Drama', 'Sci-Fi']","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.2,2005.0
Rang De Basanti,"['Comedy', 'Crime', 'Drama']","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.2,2006.0
Black,['Drama'],"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",8.2,2005.0
Batman Begins,"['Action', 'Adventure']","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2,2005.0
"Swades: We, the People",['Drama'],A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,2004.0
Der Untergang,"['Biography', 'Drama', 'History']","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,2004.0
Hauru no ugoku shiro,"['Animation', 'Adventure', 'Family']","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,2004.0
A Beautiful Mind,"['Biography', 'Drama']","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",8.2,2001.0
Hera Pheri,"['Action', 'Comedy', 'Crime']","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",8.2,2000.0
